t_ns,t_bag_ns,left_pos_rad,right_pos_rad,left_vel_radps,right_vel_radps
1784885729134790964,1784885729138470940,353.209863117,328.644691383,0.06964031267065567,-0.07122304704953421
1784885729184878542,1784885729189374406,353.300367996,328.558788447,0.07043167986009494,-0.07201441423897346
1784885729234850140,1784885729242109239,353.387804913,328.466749587,0.07201441423897346,-0.06964031267065567
1784885729284921978,1784885729287796226,353.522795241,328.331759259,0.07122304704953421,-0.06964031267065567
1784885729334922812,1784885729345492422,353.61330012,328.245856323,0.06964031267065567,-0.07122304704953421
1784885729385048358,1784885729389248393,353.743688505,328.110865995,0.07122304704953421,-0.07201441423897346
1784885729435052621,1784885729448503506,353.834193384,328.020361116,0.07122304704953421,-0.06964031267065567
1784885729485142832,1784885729489573216,353.967649731,327.88843875,0.06964031267065567,-0.07043167986009494
1784885729535167563,1784885729537285359,354.056620629,327.802535814,0.07043167986009494,-0.07122304704953421
1784885729585242145,1784885729593034355,354.144057546,327.710496954,0.07122304704953421,-0.07043167986009494
1784885729635258625,1784885729638547779,354.282115836,327.578574588,0.07122304704953421,-0.06964031267065567
1784885729685380353,1784885729695719948,354.369552753,327.48960369,0.0688489454812164,-0.07122304704953421
1784885729735465632,1784885729739650410,354.501475119,327.353079381,0.06726621110233785,-0.06726621110233785
1784885729785515316,1784885729787868059,354.581242131,327.273312369,0.028489218819813682,-0.02928058600925295
1784885729835525382,1784885729840672173,354.602717865,327.250302654,0.004748203136635614,-0.004748203136635614
1784885729885568226,1784885729889093345,354.613455732,327.24109876800003,0.0015827343788785378,-0.0007913671894392689
1784885729935620783,1784885729946589745,354.613455732,327.24109876800003,0.0,0.0
1784885729985765017,1784885729989892490,354.613455732,327.24109876800003,0.0,0.0
1784885730035705107,1784885730050512797,354.614989713,327.24109876800003,0.0,0.0
1784885730085840563,1784885730088980204,354.614989713,327.24109876800003,0.0,0.0
1784885730135806154,1784885730138060097,354.614989713,327.24109876800003,0.0,0.0
1784885730185897674,1784885730191262784,354.614989713,327.24109876800003,0.0,0.0
1784885730235915672,1784885730239236005,354.614989713,327.24109876800003,0.0,0.0
1784885730286099883,1784885730295003632,354.614989713,327.24109876800003,0.06489210953402005,0.05776980482906663
1784885730336055351,1784885730338277762,354.734640231,327.353079381,0.1527338675617789,0.15431660194065744
1784885730386121400,1784885730398552535,354.950931552,327.572438664,0.18992812546542454,0.19309359422318162
1784885730436133911,1784885730440073808,355.31601903,327.937526142,0.19942453173869576,0.19942453173869576
1784885730486255908,1784885730491871135,355.572193857,328.189099026,0.2010072661175743,0.2010072661175743
1784885730536254422,1784885730543598037,355.825300722,328.44067191,0.20021589892813504,0.19942453173869576
1784885730586435982,1784885730590410583,356.202660048,328.816497255,0.20021589892813504,0.19942453173869576
1784885730636342010,1784885730647808196,356.452698951,329.06346819600003,0.20021589892813504,0.19942453173869576
1784885730686431991,1784885730687944464,356.825456334,329.436225579,0.19942453173869576,0.19942453173869576
1784885730736487548,1784885730739093735,357.072427275,329.68319652,0.2017986333070136,0.19705043017037796
1784885730786516298,1784885730793366741,357.324000159,329.927099499,0.21525187552748115,0.1828058207604711
1784885730836549052,1784885730839835386,357.722835219,330.270711243,0.2215828130429953,0.17410078167663917
1784885730886717617,1784885730895569941,357.998951799,330.488536545,0.22474828180075238,0.17014394572944283
1784885730936662908,1784885730939135565,358.423864536,330.807604593,0.22633101617963092,0.16935257854000355
1784885730986779047,1784885730999898096,358.709185002,331.019293971,0.22791375055850946,0.1709353129188821
1784885731036810459,1784885731040252626,359.137165701,331.341429981,0.22791375055850946,0.17014394572944283
1784885731086933998,1784885731091852214,359.424020148,331.557721302,0.22870511774794872,0.17251804729776063
1784885731136880895,1784885731145132817,359.710874595,331.772478642,0.22791375055850946,0.1709353129188821
1784885731186949675,1784885731190401871,360.140389275,332.097682614,0.22712238336907017,0.1709353129188821
1784885731236972798,1784885731247718854,360.427243722,332.310905973,0.22712238336907017,0.17172668010832134
1784885731287094335,1784885731289411457,360.855224421,332.634575964,0.22633101617963092,0.16935257854000355
1784885731337066555,1784885731339539964,361.14514683,332.846265342,0.22474828180075238,0.1709353129188821
1784885731387221107,1784885731393510580,361.432001277,333.062556663,0.22633101617963092,0.17014394572944283
1784885731437183260,1784885731440569890,361.8661179,333.384692673,0.22949648493738797,0.17014394572944283
1784885731487248982,1784885731497084951,362.152972347,333.600983994,0.22949648493738797,0.1709353129188821
1784885731537289474,1784885731541612736,362.584021008,333.927721947,0.23028785212682726,0.17014394572944283
1784885731587486921,1784885731600507816,362.869341474,334.140945306,0.23028785212682726,0.1709353129188821
1784885731637398709,1784885731641745848,363.29578819200003,334.464615297,0.22870511774794872,0.17251804729776063
1784885731687571020,1784885731689415219,363.579574677,334.67937263700003,0.22712238336907017,0.17014394572944283
1784885731737481269,1784885731746526512,363.8602932,334.895663958,0.22633101617963092,0.17172668010832134
1784885731787615857,1784885731791954616,364.285205937,335.217799968,0.22553964899019163,0.16935257854000355
1784885731837593489,1784885731849097349,364.567458441,335.429489346,0.22633101617963092,0.16935257854000355
1784885731887691336,1784885731891004873,364.99543914000003,335.747023413,0.22870511774794872,0.17014394572944283
