t_ns,t_bag_ns,mx,my,mz
1784885680940639929,1784885680943615240,0.0,0.0,0.0
1784885680990979649,1784885681001469961,0.0,0.0,0.0
1784885681040708683,1784885681044053093,0.0,0.0,0.0
1784885681090650727,1784885681093198746,0.0,0.0,0.0
1784885681140685239,1784885681145944255,0.0,0.0,0.0
1784885681190616765,1784885681194628694,0.0,0.0,0.0
1784885681240599933,1784885681249904410,0.0,0.0,0.0
1784885681290589766,1784885681293822876,0.0,0.0,0.0
1784885681340644128,1784885681352529138,0.0,0.0,0.0
1784885681390660587,1784885681394485634,0.0,0.0,0.0
1784885681440604167,1784885681442687677,0.0,0.0,0.0
1784885681490566690,1784885681498715104,0.0,0.0,0.0
1784885681540541044,1784885681544918070,0.0,0.0,0.0
1784885681590569335,1784885681600521611,0.0,0.0,0.0
1784885681640642138,1784885681643029957,0.0,0.0,0.0
1784885681690590495,1784885681693267441,0.0,0.0,0.0
1784885681740569164,1784885681745939960,0.0,0.0,0.0
1784885681790548369,1784885681793834157,0.0,0.0,0.0
1784885681840591287,1784885681850010563,0.0,0.0,0.0
1784885681890517500,1784885681893753794,0.0,0.0,0.0
1784885681940525460,1784885681952710170,0.0,0.0,0.0
1784885681990488371,1784885681994386741,0.0,0.0,0.0
1784885682040474063,1784885682042593123,0.0,0.0,0.0
1784885682090486513,1784885682098517889,0.0,0.0,0.0
1784885682140526848,1784885682144786114,0.0,0.0,0.0
1784885682190500914,1784885682200582082,0.0,0.0,0.0
1784885682240511272,1784885682242834748,0.0,0.0,0.0
1784885682290458045,1784885682292689812,0.0,0.0,0.0
1784885682340433056,1784885682345911209,0.0,0.0,0.0
1784885682390477871,1784885682394329860,0.0,0.0,0.0
1784885682440492506,1784885682448604908,0.0,0.0,0.0
1784885682490570762,1784885682492585892,0.0,0.0,0.0
1784885682540418753,1784885682552856893,0.0,0.0,0.0
1784885682590411946,1784885682594223236,0.0,0.0,0.0
1784885682640489220,1784885682644150253,0.0,0.0,0.0
1784885682690789019,1784885682697582917,0.0,0.0,0.0
1784885682740439871,1784885682743818591,0.0,0.0,0.0
1784885682790469985,1784885682800653435,0.0,0.0,0.0
1784885682840383892,1784885682845089060,0.0,0.0,0.0
1784885682890396009,1784885682893320958,0.0,0.0,0.0
1784885682940471098,1784885682945942123,0.0,0.0,0.0
1784885682990430463,1784885682993661703,0.0,0.0,0.0
