t_ns,x,y,yaw,n_matched,inlier_frac,rmse_m,quality
1784885724210166784,8.213138744131015,-2.506247823344811,-1.518970977543243,257,1.0,0.01109,good
1784885724340189253,8.214547535056955,-2.5297247645793917,-1.5219432126588166,251,1.0,0.00797,good
1784885724460164024,8.21694341575899,-2.5534838095052987,-1.5230016889049445,256,1.0,0.00533,good
1784885724590171731,8.21593359138563,-2.579268024291143,-1.5139299642885025,255,1.0,0.00517,good
1784885724710186095,8.217402160570387,-2.6026718112165415,-1.515257955056028,258,1.0,0.00689,good
1784885724830169007,8.219374273298765,-2.627118198663405,-1.5135085788843152,251,1.0,0.00557,good
1784885724960182240,8.220918947709638,-2.651110157924471,-1.517432196268743,259,1.0,0.01093,good
1784885725080180488,8.22323381429224,-2.6724727690984325,-1.520467801554393,247,0.996,0.0052,good
1784885725210157031,8.224658697285177,-2.698886257481377,-1.5190108317830435,255,1.0,0.00458,good
1784885725330204190,8.228563675808454,-2.7220279232857942,-1.5137020997202244,255,0.9922,0.00648,good
1784885725450147783,8.229816541690756,-2.7457231442544185,-1.5150927067277542,248,1.0,0.00527,good
1784885725570171335,8.236465557829858,-2.767263356131902,-1.5114287638599606,254,1.0,0.00701,good
1784885725700169352,8.239334414270056,-2.776290201052466,-1.514858223687895,252,1.0,0.009,good
1784885725830180887,8.240711016853098,-2.778595201726387,-1.5109989042230967,244,0.9959,0.00407,good
1784885725950168002,8.242896271736086,-2.7774727206677223,-1.5185883757612935,254,1.0,0.00819,good
1784885726070170230,8.24271609001286,-2.7814403924529327,-1.5073960446568047,257,0.9961,0.00774,good
1784885726190249985,8.244226134007597,-2.7872495136630207,-1.5129188207335451,251,1.0,0.01084,good
1784885726320163270,8.243673172930517,-2.7933475996837265,-1.517346946908888,254,0.9961,0.01041,good
1784885726440192590,8.244753853685046,-2.7947595863438166,-1.5366440756185542,256,1.0,0.0091,good
1784885726570175112,8.247550725864006,-2.797712465504519,-1.5501885210237443,251,0.996,0.00951,good
1784885726690156741,8.250091565782096,-2.79828863745615,-1.5853311233202938,256,1.0,0.01189,good
1784885726820160328,8.2507876885594,-2.7974447201984574,-1.621840997716092,255,1.0,0.00897,good
1784885726940176482,8.251977057211331,-2.7980806287231093,-1.6538433851424175,250,0.996,0.00841,good
1784885727060198399,8.2519726681348,-2.796669788016897,-1.696768648344153,252,0.996,0.00879,good
1784885727190179817,8.250712496964361,-2.795961991164094,-1.7350533740894982,246,1.0,0.00583,good
1784885727310161203,8.256218364308948,-2.796966725621594,-1.7720178939021538,247,1.0,0.00799,good
1784885727440154135,8.25727449711864,-2.800815267250691,-1.8056668889591394,251,1.0,0.00967,good
1784885727560155082,8.259363872464917,-2.8021439163971076,-1.8563869522801983,258,1.0,0.00962,good
1784885727690126821,8.259710918206324,-2.8044814131492095,-1.9152949401919674,252,1.0,0.00972,good
1784885727810232489,8.260289470350662,-2.8050071695857755,-1.9711424507418853,257,1.0,0.01058,good
1784885727940161138,8.262193481912494,-2.8059215169429557,-2.035198707067463,247,0.9919,0.00867,good
1784885728060154695,8.263752041512149,-2.807481152920052,-2.087913900691942,243,1.0,0.01075,good
1784885728180164262,8.265469313200288,-2.808440969946905,-2.1451850298862154,251,1.0,0.00983,good
1784885728310165325,8.265508457356727,-2.8082416967956574,-2.211965281075766,246,1.0,0.01001,good
1784885728440237766,8.26245604965663,-2.8065690735548374,-2.2715878004261474,243,0.9918,0.00951,good
1784885728560327984,8.262747352437023,-2.8062201664396667,-2.3307039815524666,244,1.0,0.00808,good
1784885728690191163,8.262564434934948,-2.807772249564566,-2.387382153908615,245,0.9959,0.00605,good
1784885728810169157,8.262052972483888,-2.8086782371510584,-2.4344960544802725,246,0.9919,0.0075,good
1784885728940178822,8.263480091916069,-2.8068683007420367,-2.502509495466489,245,1.0,0.00857,good
1784885729060149354,8.261022471648536,-2.806283332589799,-2.5653174564911434,246,1.0,0.00941,good
1784885729190163115,8.259253404735599,-2.8060090736162615,-2.6218379511767838,241,0.9917,0.00619,good
1784885729310186021,8.260358154345804,-2.8065305736528092,-2.6735260826331975,240,1.0,0.0071,good
1784885729430178708,8.260397012639407,-2.80501358633448,-2.7473352990143005,243,0.9959,0.00713,good
1784885729560403204,8.259858230757176,-2.8066834539156074,-2.8018626500543458,249,1.0,0.00976,good
1784885729680177945,8.26220147796898,-2.8039985325972796,-2.8736474657865063,238,1.0,0.00884,good
1784885729810162062,8.266762344362501,-2.7989420427447738,-2.933038449715757,245,0.9959,0.01671,good
1784885729930172639,8.269529589802309,-2.7917138984189735,-2.9610622645873903,243,0.9918,0.00985,good
1784885730060155496,8.267804368181636,-2.7886739833806513,-2.978695378060524,237,1.0,0.01054,good
1784885730180173887,8.265773652508399,-2.7864474436693936,-2.98714446547824,242,1.0,0.00978,good
1784885730300362569,8.265250505842719,-2.7853506267013057,-2.991101043716957,243,0.9918,0.00533,good
1784885730430187314,8.24558414621483,-2.7875817449046862,-2.984255907084427,240,0.9958,0.00611,good
1784885730550171483,8.222568091102413,-2.790971143855794,-2.985618017858431,249,1.0,0.00578,good
1784885730680151355,8.19298414445015,-2.79716568436414,-2.982658779608994,251,1.0,0.00651,good
1784885730800152320,8.170858563227755,-2.8002867857386025,-2.977448158893436,248,1.0,0.00971,good
1784885730930199300,8.142696435588809,-2.805355024895262,-2.9847880090067753,246,0.9959,0.00916,good
1784885731050183821,8.120347958509463,-2.8083511367271035,-3.0086747301540226,242,1.0,0.00933,good
1784885731170156780,8.09861667385137,-2.8126831889965445,-3.0238634137350062,246,1.0,0.00624,good
1784885731300150747,8.072005665678834,-2.8145123905838187,-3.050575225027775,243,1.0,0.01213,good
1784885731420176575,8.049253824855601,-2.8157896239858093,-3.0685103753946774,243,1.0,0.00988,good
1784885731540170852,8.025303815447023,-2.817644544588186,-3.09370726274836,242,1.0,0.00962,good
1784885731660158196,8.001781216149825,-2.8157969588196545,-3.1183679434217186,245,1.0,0.0094,good
1784885731790170441,7.978642356817361,-2.819079258260267,-3.1377868408912586,234,1.0,0.00978,good
1784885731910167925,7.9554081503712135,-2.8186054730594083,3.1203191298462283,239,1.0,0.00964,good
1784885732030167889,7.930898221368336,-2.81694889613997,3.0949670819431057,229,1.0,0.01097,good
1784885732160168109,7.908464498292713,-2.8152471289023286,3.0629202003782288,231,1.0,0.00575,good
1784885732280163010,7.886265738099648,-2.8126931831392024,3.0480286141170883,234,0.9915,0.00986,good
1784885732400172091,7.865494776295572,-2.810835311946653,3.042114989743097,233,1.0,0.00902,good
1784885732520186251,7.841637491267046,-2.810481931420487,3.041130325153021,235,0.9957,0.00836,good
1784885732640153643,7.816154059254998,-2.809393421268279,3.040157251690902,230,1.0,0.01089,good
1784885732760154846,7.793382269609605,-2.807345774167087,3.0512945138118615,229,0.9956,0.00815,good
1784885732880164094,7.771209873392997,-2.8039542163546223,3.0488573342656755,233,0.9957,0.0057,good
1784885733000180793,7.74815970059057,-2.8025077828464675,3.05109994760823,229,1.0,0.00716,good
1784885733120180252,7.724030838924208,-2.799834614482328,3.043713031968331,232,0.9957,0.00684,good
1784885733230152550,7.702857603030184,-2.7951524828355723,3.0397792875605805,231,1.0,0.00906,good
1784885733350175529,7.679738356422236,-2.7903457592855254,3.0366346288818993,226,1.0,0.00654,good
1784885733470161177,7.655774584524696,-2.7892358819321843,3.0473921313226424,228,0.9912,0.00647,good
1784885733580176774,7.633735777706945,-2.7889296665856453,3.0679645066313657,227,0.9912,0.00808,good
1784885733700170782,7.607187415153462,-2.787407373507897,3.085218586954673,225,1.0,0.00475,good
1784885733820177394,7.583542434981502,-2.7876440055420635,3.099236764900159,222,1.0,0.00571,good
1784885733930223946,7.561611983339722,-2.787972195058803,3.1064579885830526,223,0.991,0.0048,good
1784885734050184792,7.538149394217687,-2.785998602931984,3.096956919953394,225,1.0,0.00883,good
1784885734160158503,7.515628975923042,-2.7870641123077626,3.1081383150837567,224,1.0,0.00819,good
1784885734270200386,7.491646842806956,-2.7858098397902076,3.104851739856244,230,1.0,0.00883,good
1784885734390148796,7.471396608438514,-2.7846011500313894,3.1030566134688993,226,0.9912,0.00513,good
1784885734500174683,7.4487264542717115,-2.7833758140879037,3.1047327401423286,222,1.0,0.00628,good
1784885734620162535,7.42340349898753,-2.7821825041493327,3.102380808802731,224,1.0,0.00699,good
1784885734740164843,7.4018965403257075,-2.782983123027093,3.1053078769335047,223,1.0,0.00837,good
1784885734850182946,7.3808550367730685,-2.784845373537191,3.109987533150825,224,0.9955,0.00738,good
1784885734970150947,7.358782046004822,-2.786767507148477,3.1086980091715137,226,1.0,0.01122,good
1784885735080208938,7.337605006083701,-2.7860746699343246,3.1067501147024092,227,1.0,0.00866,good
1784885735200299912,7.314519881285261,-2.7840129322871765,3.105886731729546,218,1.0,0.00643,good
1784885735310167384,7.2933319934740695,-2.7839562347297075,3.100647043027324,228,1.0,0.01094,good
1784885735420185706,7.2718670782892705,-2.7832401688347552,3.0972051727010794,228,1.0,0.00868,good
1784885735540155484,7.246871838174692,-2.7832073056705546,3.100220757178537,227,1.0,0.00613,good
1784885735650182665,7.222488111960383,-2.782337757865,3.106696744479193,222,1.0,0.00857,good
1784885735760161639,7.200117018777372,-2.7819374286429537,3.1134275576184423,221,1.0,0.00986,good
1784885735880199012,7.176744310923702,-2.7781569247339166,3.1070934753291484,220,0.9955,0.00865,good
1784885735990151908,7.154861413560538,-2.777332959128313,3.1072728448251477,221,0.9955,0.00656,good
1784885736100169789,7.130850172444334,-2.7778370159093946,3.110291920554018,221,0.9955,0.00874,good
1784885736220170091,7.11031281120473,-2.7778333770991965,3.1055446325269243,222,1.0,0.00689,good
1784885736330163273,7.086719606693026,-2.776100410833263,3.1060791973321997,222,1.0,0.00581,good
1784885736440150395,7.067911777884667,-2.776905896048174,3.111074789183478,216,1.0,0.00748,good
1784885736550239804,7.04672203317044,-2.7747422760820784,3.1034624347920934,215,0.9953,0.00874,good
1784885736670162190,7.023110025937681,-2.7711710002572687,3.095735928479401,220,1.0,0.01064,good
1784885736780177779,7.003258064592769,-2.769833572476588,3.0935138014503805,216,1.0,0.00955,good
1784885736900160474,6.9794819049766,-2.769367648212752,3.1026227028523583,218,1.0,0.00932,good
1784885737010153414,6.959655345696332,-2.7675127633498717,3.098121674174138,219,1.0,0.00828,good
1784885737120175147,6.937096237168972,-2.769372537258312,3.103245442203573,214,1.0,0.00507,good
1784885737230174566,6.914734373393726,-2.769345274565807,3.1033972901071136,216,1.0,0.00802,good
1784885737340154173,6.890601720197633,-2.7687706972027084,3.109067935084895,216,1.0,0.00792,good
1784885737460163016,6.8681114943875965,-2.769458017817278,3.1023016381947954,213,1.0,0.00841,good
1784885737570148609,6.8464797118776755,-2.7674303111011946,3.1011562879205514,220,1.0,0.00552,good
1784885737690189088,6.824869595606626,-2.766117973360027,3.0970907980521334,216,1.0,0.00727,good
1784885737800174737,6.80548555141364,-2.7670176527590558,3.107454388670909,215,1.0,0.00762,good
1784885737910154752,6.785807324199241,-2.7656731669309864,3.118338337533031,217,1.0,0.01195,good
1784885738020169038,6.7657487379435555,-2.762884862668513,3.1387502119986723,212,1.0,0.01083,good
1784885738130159683,6.743015682700541,-2.766031830211915,-3.1224160220862256,217,1.0,0.01203,good
1784885738240149235,6.726181375691509,-2.7648517806005666,-3.1126389387940794,213,1.0,0.01248,good
1784885738350178298,6.703606569444201,-2.7664883488790166,-3.0898104507956785,210,1.0,0.00961,good
1784885738460166089,6.683610616518012,-2.7700459353015967,-3.063656105058742,219,1.0,0.00972,good
1784885738580205753,6.6588053505198905,-2.771212859722586,-3.0427675135342835,214,1.0,0.01115,good
1784885738690162094,6.631776232445565,-2.773086515218196,-3.0229909510107285,215,1.0,0.00768,good
1784885738800185875,6.607467908277077,-2.777095949262156,-3.0097550073538692,216,1.0,0.00865,good
1784885738910156969,6.584394116295096,-2.7815146282953274,-3.0026660042829434,215,1.0,0.00684,good
1784885739020155597,6.562971286444489,-2.7846406000901993,-3.0006203782367256,217,0.9954,0.00593,good
1784885739130166441,6.540663462506288,-2.7874068421599425,-3.0033797634653148,211,1.0,0.00837,good
1784885739240148078,6.5179506069269255,-2.790744061038721,-2.998930902298424,219,1.0,0.00774,good
1784885739360180540,6.4937397340813945,-2.7953110170559197,-2.9898321601080116,213,1.0,0.00874,good
1784885739470177410,6.473929420053665,-2.7994866169075734,-2.9851410957397198,218,1.0,0.01104,good
1784885739580162235,6.452356398893447,-2.8039453920759563,-2.9810675771294513,220,0.9909,0.01133,good
1784885739690263829,6.429513137030357,-2.8077822048088072,-2.973391570734855,219,1.0,0.00877,good
1784885739800155327,6.4129864321418815,-2.8100453149899662,-2.9773572826640056,217,0.9954,0.01193,good
1784885739920165236,6.38765382541034,-2.8124181347585133,-2.9854985881203615,222,1.0,0.00884,good
1784885740030166570,6.368634951482425,-2.8153275069986887,-2.985511836994291,216,1.0,0.00961,good
1784885740140181740,6.347079888702834,-2.8192665043646614,-2.9835734314298565,222,1.0,0.00639,good
1784885740250180622,6.326090575378231,-2.8256206587404544,-2.970042598421566,214,1.0,0.00735,good
1784885740360178225,6.305390778139361,-2.8295403944673287,-2.9687641980737554,216,1.0,0.00541,good
1784885740480159632,6.282330205760902,-2.8330490647226507,-2.979806319246173,217,1.0,0.0081,good
1784885740590169948,6.25920902285571,-2.835885728301554,-2.9884584294906085,222,1.0,0.00575,good
1784885740700158044,6.236803343690439,-2.839170835618851,-2.997498903021755,218,1.0,0.0072,good
1784885740820164803,6.212021689959388,-2.8432299085293344,-2.9992911245418927,222,1.0,0.01179,good
1784885740930184477,6.192596948987176,-2.846360187203204,-3.009904555604587,220,1.0,0.01077,good
1784885741040155819,6.170212874351855,-2.849609427558485,-3.0202934198124924,220,1.0,0.00771,good
1784885741150194588,6.147726705021483,-2.8526741109381524,-3.02824721136704,206,1.0,0.00679,good
1784885741270365251,6.128421129301969,-2.854667818068318,-3.038302565933239,214,1.0,0.00766,good
1784885741380158874,6.108051953817136,-2.8567122682766524,-3.0427078881359684,215,1.0,0.01089,good
1784885741490167531,6.088226866109714,-2.859209684925606,-3.0431981817267646,211,1.0,0.00929,good
1784885741600238043,6.0666613605146305,-2.861007328135246,-3.0416914745077177,213,1.0,0.00746,good
1784885741710153304,6.044241393061398,-2.862331950944805,-3.0479868046791725,217,1.0,0.00851,good
1784885741820156586,6.023172010722931,-2.863358115978787,-3.0473244222658162,208,1.0,0.00747,good
1784885741930164854,5.9996541595168615,-2.865212601528824,-3.044360790391399,215,1.0,0.00988,good
1784885742040154924,5.977489965816469,-2.8679626338208433,-3.0418407432003938,206,1.0,0.01017,good
1784885742160247089,5.95357352306626,-2.871638506075652,-3.0369344702596677,212,1.0,0.01077,good
1784885742260175640,5.931580076000511,-2.87230727635159,-3.0408010128127136,206,1.0,0.01179,good
1784885742380158586,5.910377017140908,-2.876062966869803,-3.03511209538148,201,1.0,0.00987,good
1784885742490186214,5.888568268759864,-2.879412703137583,-3.0321647017255513,206,1.0,0.00836,good
1784885742600193644,5.866423280676677,-2.8836370454040052,-3.027214642989458,205,0.9951,0.00751,good
1784885742710158658,5.8459220232705835,-2.884753034539883,-3.0358062129736214,209,1.0,0.00814,good
