t_ns,t_bag_ns,n_beams,n_finite,angle_min,angle_max,angle_increment_raw,time_increment_s,scan_time_s
1784885705930162786,1784885705930622854,275,252,0.014304891228675842,6.274446487426758,0.022772733122110367,0.00043638268834911287,0.1199600100517273
1784885706050168842,1784885706050586711,276,248,0.0019451965345069766,6.26197624206543,0.022727202624082565,0.00043639037176035345,0.12020033597946167
1784885706170258966,1784885706170855978,277,252,0.011893692426383495,6.272193431854248,0.022636141628026962,0.00043637165799736977,0.12068387866020203
1784885706290126434,1784885706290437429,276,250,0.00857673678547144,6.268749237060547,0.0227423794567585,0.00043638053466565907,0.12012012302875519
1784885706410173286,1784885706410688569,275,250,0.005338522605597973,6.2654290199279785,0.022780321538448334,0.0004363862390164286,0.11992005258798599
1784885706530148444,1784885706530519116,277,251,0.017997557297348976,6.278230667114258,0.02266649529337883,0.0004363762855064124,0.12052226066589355
1784885706650171151,1784885706650612203,277,253,0.014530004002153873,6.272840976715088,0.022628553211688995,0.0004365103377494961,0.12072434276342392
1784885706770179175,1784885706770775095,277,251,0.005575188435614109,6.265903472900391,0.02266649529337883,0.00043636964983306825,0.12052226066589355
1784885706890108616,1784885706890522810,277,251,0.021289728581905365,6.2816243171691895,0.022636141628026962,0.00043636924237944186,0.12068387866020203
1784885707010197533,1784885707010781398,277,252,0.000863635097630322,6.261378765106201,0.022681672126054764,0.00043635661131702363,0.12044161558151245
1784885707140199011,1784885707141188216,276,254,0.013496984727680683,6.273756980895996,0.022704437375068665,0.00043637442286126316,0.12032085657119751
1784885707250235289,1784885707250869283,277,250,0.013325965963304043,6.273550033569336,0.022674083709716797,0.00043637692579068244,0.1204819306731224
1784885707380174669,1784885707380599803,276,255,0.017766332253813744,6.27815580368042,0.02271202579140663,0.00043636540067382157,0.12028065323829651
1784885707500181605,1784885707500661069,277,247,0.00013452988059725612,6.260392189025879,0.02261337637901306,0.000436374539276585,0.12080536782741547
1784885707620171292,1784885707620843798,278,256,0.01603715680539608,6.276439666748047,0.02259061299264431,0.00043636446935124695,0.1209271103143692
1784885707740196258,1784885707740804472,278,254,0.013162505812942982,6.273803234100342,0.02253749407827854,0.00043634790927171707,0.12121212482452393
