t_ns,t_bag_ns,left_wheel_rad,right_wheel_rad,left_wheel_vel,right_wheel_vel
1789550084538148880,1789550084546826266,274.619414544,426.458989848,0.0,0.0
1789550084547686608,1789550084553095030,274.619414544,426.458989848,0.0,0.0
1789550084553444452,1789550084568235030,274.619414544,426.458989848,0.0,0.0
1789550084568287437,1789550084573994023,274.619414544,426.458989848,0.0,0.0
1789550084575082085,1789550084590444601,274.619414544,426.458989848,0.0,0.0
1789550084592431875,1789550084594828627,274.619414544,426.458989848,0.0,0.0
1789550084597362988,1789550084608735788,274.619414544,426.458989848,0.0,0.0
1789550084608378033,1789550084610365474,274.619414544,426.458989848,0.0,0.0
1789550084612270064,1789550084617612709,274.619414544,426.458989848,0.0,0.0
1789550084617592265,1789550084630025147,274.619414544,426.458989848,0.0,0.0
1789550084630070869,1789550084634889742,274.619414544,426.458989848,0.0,0.0
1789550084635206071,1789550084639598430,274.619414544,426.458989848,0.0,0.0
1789550084640038611,1789550084650851103,274.619414544,426.458989848,0.0,0.0
1789550084652399771,1789550084657796564,274.619414544,426.458989848,0.0,0.0
1789550084657711102,1789550084661962888,274.619414544,426.458989848,0.0,0.0
1789550084662274033,1789550084671845039,274.619414544,426.458989848,0.0,0.0
1789550084671495524,1789550084674107680,274.619414544,426.458989848,0.0,0.0
1789550084674122069,1789550084676151084,274.619414544,426.458989848,0.0,0.0
1789550084678348597,1789550084681262768,274.619414544,426.458989848,0.0,0.0
1789550084682274313,1789550084692456905,274.619414544,426.458989848,0.0,0.0
1789550084692498997,1789550084694612085,274.619414544,426.458989848,0.0,0.0
1789550084697197297,1789550084700078450,274.619414544,426.458989848,0.0,0.0
1789550084702366166,1789550084715939183,274.619414544,426.458989848,0.0,0.0
1789550084716400049,1789550084723833059,274.619414544,426.458989848,0.0,0.0
1789550084722645350,1789550084734896123,274.619414544,426.458989848,0.0,0.0
1789550084735141768,1789550084739411740,274.619414544,426.458989848,0.0,0.0
1789550084739066484,1789550084743695341,274.619414544,426.458989848,0.0,0.0
1789550084754574295,1789550084757685576,274.619414544,426.458989848,0.0,0.0
