t_ns,t_bag_ns,x,y,yaw,qz,qw,v_lin,w_ang
1789550087612658827,1789550087631117230,0.4796119482143228,-0.6158789269080002,-0.015584170818329593,0.007792006557921813,-0.9999696418560922,0.0,0.029538978865238902
1789550087625614057,1789550087632598420,0.4841673185305033,-0.6159499243248698,-0.015584170818329593,0.007792006557921813,-0.9999696418560922,0.35166674349381466,0.0
1789550087628620379,1789550087645535021,0.4841673185305033,-0.6159499243248698,-0.015584170818329593,0.007792006557921813,-0.9999696418560922,0.0,0.0
1789550087632592827,1789550087653605026,0.4841673185305033,-0.6159499243248698,-0.015306532382965822,0.007653191479900557,-0.9999707139012483,0.0,0.06989101817412577
1789550087645191713,1789550087669913441,0.48882393926832884,-0.6160212066079827,-0.015306532382965822,0.007653191479900557,-0.9999707139012483,0.369649053953215,0.0
1789550087655151621,1789550087677537826,0.48882393926832884,-0.6160212066079827,-0.015241861343384525,0.007620856903095734,-0.9999709608483951,0.0,0.006493136239943063
1789550087671295706,1789550087690452354,0.49337933362070785,-0.6160906446743021,-0.015241861343384525,0.007620856903095734,-0.9999709608483951,0.282203887387447,0.0
1789550087678748818,1789550087696703900,0.49337933362070785,-0.6160906446743021,-0.01529300212860181,0.007646426550667653,-0.9999707656531791,0.0,-0.006861668685145904
1789550087690360300,1789550087708639115,0.4979347244160126,-0.6161603157069748,-0.01529300212860181,0.007646426550667653,-0.9999707656531791,0.39236365739647816,0.0
1789550087696539829,1789550087711454275,0.4979347244160126,-0.6161603157069748,-0.015028774738312503,0.007514316651434419,-0.9999717671240833,0.0,0.042758499926014853
1789550087708647485,1789550087712237220,0.5026166726014382,-0.616230684949631,-0.015028774738312503,0.007514316651434419,-0.9999717671240833,0.386736869392944,0.0
1789550087712308163,1789550087728998384,0.5026166726014382,-0.616230684949631,-0.015028774738312503,0.007514316651434419,-0.9999717671240833,0.0,0.0
1789550087717850466,1789550087735295262,0.5026166726014382,-0.616230684949631,-0.01506447792053296,0.007532167737344614,-0.9999716328222399,0.0,-0.006441939789372574
1789550087728460841,1789550087749199601,0.5071720791993125,-0.6162993149634196,-0.01506447792053296,0.007532167737344614,-0.9999716328222399,0.4293838384896208,0.0
1789550087735490851,1789550087754832327,0.5071720791993125,-0.6162993149634196,-0.014745950698853273,0.007372908549510863,-0.999972819740377,0.0,0.04530963991227431
1789550087749243248,1789550087763861015,0.5116262756882332,-0.6163650010863145,-0.014745950698853273,0.007372908549510863,-0.999972819740377,0.32392031729896986,0.0
1789550087754818587,1789550087770535978,0.5116262756882332,-0.6163650010863145,-0.014745950698853273,0.007372908549510863,-0.999972819740377,0.0,0.0
1789550087761677582,1789550087775261447,0.5116262756882332,-0.6163650010863145,-0.014427602291107912,0.007213738579304922,-0.9999739806493514,0.0,0.04641327304442726
1789550087770972968,1789550087790886339,0.5162829572795324,-0.616432190498328,-0.014427602291107912,0.007213738579304922,-0.9999739806493514,0.5010191390399932,0.0
1789550087775656475,1789550087797043795,0.5162829572795324,-0.616432190498328,-0.014427602291107912,0.007213738579304922,-0.9999739806493514,0.0,0.0
1789550087789908991,1789550087800577698,0.5162829572795324,-0.616432190498328,-0.01436197757721021,0.00718092707223484,-0.9999742168108052,0.0,0.004604430115897087
1789550087796749987,1789550087812085108,0.5209143351940544,-0.6164987108177864,-0.01436197757721021,0.00718092707223484,-0.9999742168108052,0.6770732806160358,0.0
1789550087800519440,1789550087816297996,0.5209143351940544,-0.6164987108177864,-0.014139831066132326,0.007069856636450534,-0.9999750082512763,0.0,0.0589333548071513
1789550087812298529,1789550087818935881,0.525545727771557,-0.6165642022911668,-0.014139831066132326,0.007069856636450534,-0.9999750082512763,0.393226980830361,0.0
1789550087819176172,1789550087834518145,0.525545727771557,-0.6165642022911668,-0.014103055000305911,0.007051469061892231,-0.9999751380829771,0.0,0.005347190283999332
1789550087831852260,1789550087840316127,0.5301011982465299,-0.6166284526015975,-0.014103055000305911,0.007051469061892231,-0.9999751380829771,0.3594108486240686,0.0
1789550087834552126,1789550087855905114,0.5301011982465299,-0.6166284526015975,-0.014103055000305911,0.007051469061892231,-0.9999751380829771,0.0,0.0
1789550087840433606,1789550087858421835,0.5301011982465299,-0.6166284526015975,-0.014283716678620122,0.007141797626359869,-0.9999744970381316,0.0,-0.03071704372270398
1789550087855009189,1789550087864436887,0.5346060408307802,-0.6166928028731575,-0.014283716678620122,0.007141797626359869,-0.9999744970381316,0.3090992773728403,0.0
1789550087858576980,1789550087875352847,0.5346060408307802,-0.6166928028731575,-0.014283716678620122,0.007141797626359869,-0.9999744970381316,0.0,0.0
1789550087864486460,1789550087880732468,0.5346060408307802,-0.6166928028731575,-0.014186680316925784,0.007093280674483107,-0.9999748423681832,0.0,0.016420456908955768
1789550087875372532,1789550087883490018,0.5391868140562396,-0.6167577931985954,-0.014186680316925784,0.007093280674483107,-0.9999748423681832,0.4208344600032592,0.0
1789550087881143404,1789550087896905404,0.5391868140562396,-0.6167577931985954,-0.014186680316925784,0.007093280674483107,-0.9999748423681832,0.0,0.0
1789550087883535665,1789550087901873609,0.5391868140562396,-0.6167577931985954,-0.014294266700745363,0.007147072502794698,-0.9999744593511575,0.0,-0.04497267807299457
1789550087896991199,1789550087904476847,0.543792888363703,-0.6168236381378631,-0.014294266700745363,0.007147072502794698,-0.9999744593511575,0.34235318479652693,0.0
1789550087901943996,1789550087918463017,0.543792888363703,-0.6168236381378631,-0.014294266700745363,0.007147072502794698,-0.9999744593511575,0.0,0.0
1789550087904554327,1789550087923615365,0.543792888363703,-0.6168236381378631,-0.01443231105804517,0.007216092901494026,-0.9999739636626731,0.0,-0.05288385162640473
1789550087918810861,1789550087939250943,0.5483483374369441,-0.6168893883610337,-0.01443231105804517,0.007216092901494026,-0.9999739636626731,0.3195674029405305,0.0
1789550087923708493,1789550087942894288,0.5483483374369441,-0.6168893883610337,-0.014400899410248538,0.0072003874856284775,-0.9999740768740242,0.0,0.0064136398562878675
1789550087938992615,1789550087946368729,0.5530303288826028,-0.6169568179102594,-0.014400899410248538,0.0072003874856284775,-0.9999740768740242,0.3063621827362823,0.0
1789550087942840344,1789550087947297653,0.5530303288826028,-0.6169568179102594,-0.014400899410248538,0.0072003874856284775,-0.9999740768740242,0.0,0.0
1789550087947339985,1789550087967448111,0.5530303288826028,-0.6169568179102594,-0.014585196971894046,0.0072925338469656915,-0.999973409121508,0.0,-0.04095828125966223
1789550087959205128,1789550087967556387,0.5575098438675258,-0.6170221571518801,-0.014585196971894046,0.0072925338469656915,-0.999973409121508,0.37757585274991023,0.0
1789550087962103915,1789550087967634237,0.5575098438675258,-0.6170221571518801,-0.014585196971894046,0.0072925338469656915,-0.999973409121508,0.0,0.0
1789550087968089856,1789550087985906404,0.5575098438675258,-0.6170221571518801,-0.014870524406433841,0.007435193695985855,-0.9999723585653272,0.0,-0.04766626242052752
1789550087977875416,1789550087999551748,0.5620146479149354,-0.6170891508886502,-0.014870524406433841,0.007435193695985855,-0.9999723585653272,0.4604031013644447,0.0
1789550087986335802,1789550088004301674,0.5620146479149354,-0.6170891508886502,-0.015076100826264162,0.007537979025228474,-0.999971589032516,0.0,-0.02429870455441658
1789550087999728004,1789550088006652761,0.5665953615248206,-0.6171582154215004,-0.015076100826264162,0.007537979025228474,-0.999971589032516,0.3420822230486517,0.0
1789550088003889129,1789550088007650421,0.5665953615248206,-0.6171582154215004,-0.015076100826264162,0.007537979025228474,-0.999971589032516,0.0,0.0
1789550088008402531,1789550088023928760,0.5665953615248206,-0.6171582154215004,-0.01529300212860181,0.007646426550667653,-0.9999707656531791,0.0,-0.04805716449313544
1789550088020718824,1789550088028067320,0.5711507523201254,-0.6172278864541731,-0.01529300212860181,0.007646426550667653,-0.9999707656531791,0.3699102924324204,0.0
1789550088024072719,1789550088041587583,0.5711507523201254,-0.6172278864541731,-0.01529300212860181,0.007646426550667653,-0.9999707656531791,0.0,0.0
1789550088028246908,1789550088048131877,0.5711507523201254,-0.6172278864541731,-0.015394210815430423,0.007697029404884954,-0.9999703774304218,0.0,-0.024246311517905222
1789550088041674877,1789550088053159043,0.5757314437281219,-0.6172984081542611,-0.015394210815430423,0.007697029404884954,-0.9999703774304218,0.34117104617054606,0.0
1789550088047857217,1789550088062567023,0.5757314437281219,-0.6172984081542611,-0.015394210815430423,0.007697029404884954,-0.9999703774304218,0.0,0.0
1789550088052829033,1789550088068365540,0.5757314437281219,-0.6172984081542611,-0.015686035156250732,0.007842937170547681,-0.9999692436952943,0.0,-0.05869572422235909
1789550088062564541,1789550088071578809,0.5803880370787962,-0.6173714576326825,-0.015686035156250732,0.007842937170547681,-0.9999692436952943,0.47836910932283583,0.0
1789550088068438760,1789550088072305957,0.5803880370787962,-0.6173714576326825,-0.015686035156250732,0.007842937170547681,-0.9999692436952943,0.0,0.0
1789550088072357844,1789550088089841134,0.5803880370787962,-0.6173714576326825,-0.016108214855194824,0.008054020351371967,-0.9999675658521029,0.0,-0.10772407505021372
1789550088084140226,1789550088092937110,0.584892754758314,-0.617444026869659,-0.016108214855194824,0.008054020351371967,-0.9999675658521029,0.38237617593682827,0.0
1789550088089726600,1789550088108851533,0.584892754758314,-0.617444026869659,-0.016108214855194824,0.008054020351371967,-0.9999675658521029,0.0,0.0
1789550088092963646,1789550088113826590,0.584892754758314,-0.617444026869659,-0.016226470470429202,0.008113146227115826,-0.9999670878875452,0.0,-0.03653195389697119
1789550088108816552,1789550088126537854,0.5894480785332252,-0.6175179501844519,-0.016226470470429202,0.008113146227115826,-0.9999670878875452,0.28738728062308405,0.0
1789550088114241023,1789550088133423140,0.5894480785332252,-0.6175179501844519,-0.01663708686828687,0.00831844749648537,-0.9999654011170828,0.0,-0.07569703992475321
1789550088125605416,1789550088146974809,0.5941805218547477,-0.6175966915202332,-0.01663708686828687,0.00831844749648537,-0.9999654011170828,0.4164849235549271,0.0
1789550088134507853,1789550088168735470,0.5941805218547477,-0.6175966915202332,-0.016885399818421142,0.008442599611444472,-0.9999643606208177,0.0,-0.02789269389205196
1789550088146995271,1789550088174560375,0.5986598746958918,-0.6176723343730346,-0.016885399818421142,0.008442599611444472,-0.9999643606208177,0.3587604327992086,0.0
1789550088167214305,1789550088192319250,0.5986598746958918,-0.6176723343730346,-0.016954600811005374,0.00847719886953576,-0.9999640679041054,0.0,-0.0034225667054236376
1789550088174972920,1789550088196789561,0.6033669707540471,-0.6177530275190051,-0.017327785491944095,0.008663784356694482,-0.9999624687160117,0.6067819660454761,-0.048099394149435266
1789550088192325361,1789550088197405953,0.6078969034668904,-0.6178315290782574,-0.017327785491944095,0.008663784356694482,-0.9999624687160117,0.2610936904468416,0.0
1789550088197466192,1789550088214246463,0.6078969034668904,-0.6178315290782574,-0.01750308275222852,0.008751429663880027,-0.9999617055061849,0.0,-0.0340990124523494
1789550088208883768,1789550088219878558,0.6124268223490241,-0.6179108247210934,-0.01750308275222852,0.008751429663880027,-0.9999617055061849,0.39681039644055316,0.0
1789550088214000321,1789550088232653692,0.6124268223490241,-0.6179108247210934,-0.01750308275222852,0.008751429663880027,-0.9999617055061849,0.0,0.0
1789550088220279714,1789550088238460338,0.6124268223490241,-0.6179108247210934,-0.017478585243225833,0.008739181377782346,-0.9999618126252853,0.0,0.0039012543095623326
1789550088232810484,1789550088254186970,0.6170832772735544,-0.6179922212544977,-0.017478585243225833,0.008739181377782346,-0.9999618126252853,0.37165842887263956,0.0
1789550088238065737,1789550088257551012,0.6170832772735544,-0.6179922212544977,-0.017624855041504642,0.00881231346065507,-0.9999611708118826,0.0,-0.02783306498827147
1789550088253683094,1789550088271973252,0.6216891067318872,-0.6180734067375856,-0.017624855041504642,0.00881231346065507,-0.9999611708118826,0.2949631565724526,0.0
1789550088257604696,1789550088277829656,0.6216891067318872,-0.6180734067375856,-0.017518758773804446,0.008759267374246435,-0.9999616368816688,0.0,0.02705431803130336
1789550088272023102,1789550088291805073,0.6261684107655244,-0.6181518866132617,-0.017518758773804446,0.008759267374246435,-0.9999616368816688,0.3107133677762041,0.0
1789550088277918876,1789550088297221434,0.6261684107655244,-0.6181518866132617,-0.017518758773804446,0.008759267374246435,-0.9999616368816688,0.0,0.0
1789550088292254247,1789550088302153140,0.6261684107655244,-0.6181518866132617,-0.01736623048782422,0.008683006131587678,-0.9999623019916895,0.0,0.010639995712718186
1789550088297215545,1789550088302819808,0.630850181675737,-0.6182331995004191,-0.01736623048782422,0.008683006131587678,-0.9999623019916895,0.9438007910687148,0.0
1789550088302894343,1789550088315920988,0.630850181675737,-0.6182331995004191,-0.017486929893494384,0.0087433535435104,-0.9999617761538754,0.0,-0.021254393213170467
1789550088313098228,1789550088316787429,0.6354054086546812,-0.6183128645557456,-0.017486929893494384,0.0087433535435104,-0.9999617761538754,0.44648911128588503,0.0
1789550088317210066,1789550088321627878,0.6354054086546812,-0.6183128645557456,-0.017486929893494384,0.0087433535435104,-0.9999617761538754,0.0,0.0
1789550088322256695,1789550088340593371,0.6354054086546812,-0.6183128645557456,-0.017365515232086914,0.008682648517200329,-0.9999623050969105,0.0,0.024058566898313843
1789550088334543767,1789550088354991925,0.640011259012754,-0.6183928555611828,-0.017365515232086914,0.008682648517200329,-0.9999623050969105,0.3749098986348325,0.0
1789550088340622018,1789550088357849296,0.640011259012754,-0.6183928555611828,-0.017365515232086914,0.008682648517200329,-0.9999623050969105,0.0,0.0
1789550088355258011,1789550088363590722,0.640011259012754,-0.6183928555611828,-0.017242193222046634,0.008620989820018809,-0.9999628385767759,0.0,0.008425940763997579
1789550088357829000,1789550088377309683,0.644667733048672,-0.6184731513435321,-0.017242193222046634,0.008620989820018809,-0.9999628385767759,1.8114298780606775,0.0
1789550088363684034,1789550088381930656,0.644667733048672,-0.6184731513435321,-0.017025411128998535,0.008512602751030185,-0.9999637671407915,0.0,0.03702490763471155
1789550088377342145,1789550088389502813,0.6492229963094011,-0.6185507140677217,-0.017025411128998535,0.008512602751030185,-0.9999637671407915,0.3335690817941393,0.0
