t_ns,t_bag_ns,wx,wy,wz,ax,ay,az,qx,qy,qz,qw
1789550267132941781,1789550267144285716,-0.0063852001912891865,-0.03937539830803871,-0.009577799588441849,-0.6051344871520996,-1.1504138708114624,9.791686058044434,0.000974288210272789,-0.013887805864214897,0.9323666095733643,0.36123421788215637
1789550267144988807,1789550267148248072,-0.0063852001912891865,-0.03937539830803871,-0.009577799588441849,-0.6051344871520996,-1.1504138708114624,9.791686058044434,0.000974288210272789,-0.013887805864214897,0.9323666095733643,0.36123421788215637
1789550267152231813,1789550267163931811,0.05533840134739876,0.011706200428307056,-0.005320999771356583,0.7739256620407104,-0.22325929999351501,8.2127103805542,0.002218135865405202,-0.015063096769154072,0.9323105216026306,0.36132630705833435
1789550267168026575,1789550267172091879,0.05533840134739876,0.011706200428307056,-0.005320999771356583,0.7739256620407104,-0.22325929999351501,8.2127103805542,0.002218135865405202,-0.015063096769154072,0.9323105216026306,0.36132630705833435
1789550267171742149,1789550267184995012,-0.05214580148458481,0.014898800291121006,0.0,-0.38546645641326904,1.0971429347991943,11.200674057006836,0.002369820838794112,-0.013019171543419361,0.9323298335075378,0.3613548278808594
1789550267186612294,1789550267189709470,-0.05214580148458481,0.014898800291121006,0.0,-0.38546645641326904,1.0971429347991943,11.200674057006836,0.002369820838794112,-0.013019171543419361,0.9323298335075378,0.3613548278808594
1789550267191500043,1789550267194052737,-0.05214580148458481,0.014898800291121006,0.0,-0.38546645641326904,1.0971429347991943,11.200674057006836,0.002369820838794112,-0.013019171543419361,0.9323298335075378,0.3613548278808594
1789550267205124283,1789550267208138562,-0.009577799588441849,-0.06810879707336426,-0.01383460033684969,-0.6787561774253845,-1.302445650100708,8.723872184753418,0.0007642657146789134,-0.013993923552334309,0.9322974681854248,0.3614087402820587
1789550267209088379,1789550267211955085,-0.009577799588441849,-0.06810879707336426,-0.01383460033684969,-0.6787561774253845,-1.302445650100708,8.723872184753418,0.0007642657146789134,-0.013993923552334309,0.9322974681854248,0.3614087402820587
1789550267213085192,1789550267216539264,-0.009577799588441849,-0.06810879707336426,-0.01383460033684969,-0.6787561774253845,-1.302445650100708,8.723872184753418,0.0007642657146789134,-0.013993923552334309,0.9322974681854248,0.3614087402820587
1789550267218554382,1789550267226098384,0.05533840134739876,0.05746680125594139,-0.01383460033684969,1.1683703660964966,0.002992752008140087,8.941145896911621,0.002271851059049368,-0.014720859937369823,0.9322195053100586,0.36157456040382385
1789550267227147484,1789550267231834834,0.05533840134739876,0.05746680125594139,-0.01383460033684969,1.1683703660964966,0.002992752008140087,8.941145896911621,0.002271851059049368,-0.014720859937369823,0.9322195053100586,0.36157456040382385
1789550267233513904,1789550267238183238,0.05533840134739876,0.05746680125594139,-0.01383460033684969,1.1683703660964966,0.002992752008140087,8.941145896911621,0.002271851059049368,-0.014720859937369823,0.9322195053100586,0.36157456040382385
1789550267237194057,1789550267247901152,-0.059595201164484024,0.008513599634170532,-0.004256799817085266,-0.21607670187950134,0.477643221616745,10.19271469116211,0.0015437677502632141,-0.012624740600585938,0.9322283267974854,0.36163508892059326
1789550267252283654,1789550267256490829,-0.059595201164484024,0.008513599634170532,-0.004256799817085266,-0.21607670187950134,0.477643221616745,10.19271469116211,0.0015437677502632141,-0.012624740600585938,0.9322283267974854,0.36163508892059326
1789550267268432443,1789550267269900430,-0.004256799817085266,-0.08087919652462006,-0.014898800291121006,0.02753331884741783,-1.4215571880340576,9.522936820983887,0.000687530729919672,-0.014868187718093395,0.9321715831756592,0.3616987466812134
1789550267271939878,1789550267275293630,-0.004256799817085266,-0.08087919652462006,-0.014898800291121006,0.02753331884741783,-1.4215571880340576,9.522936820983887,0.000687530729919672,-0.014868187718093395,0.9321715831756592,0.3616987466812134
1789550267277090258,1789550267289773976,0.04469640180468559,0.06385199725627899,0.0,1.0869675874710083,0.40043023228645325,9.516951560974121,0.002273505087941885,-0.015191144309937954,0.932129979133606,0.36178597807884216
1789550267290308423,1789550267293345495,0.04469640180468559,0.06385199725627899,0.0,1.0869675874710083,0.40043023228645325,9.516951560974121,0.002273505087941885,-0.015191144309937954,0.932129979133606,0.36178597807884216
1789550267296076424,1789550267298120426,0.04469640180468559,0.06385199725627899,0.0,1.0869675874710083,0.40043023228645325,9.516951560974121,0.002273505087941885,-0.015191144309937954,0.932129979133606,0.36178597807884216
1789550267299144474,1789550267310125199,-0.05746680125594139,0.017027199268341064,0.0,-0.6308721303939819,0.4644751250743866,10.318410873413086,0.001050035934895277,-0.013373170047998428,0.932155430316925,0.3617977797985077
1789550267310926943,1789550267316039717,-0.05746680125594139,0.017027199268341064,0.0,-0.6308721303939819,0.4644751250743866,10.318410873413086,0.001050035934895277,-0.013373170047998428,0.932155430316925,0.3617977797985077
1789550267319317794,1789550267332308952,0.005320999771356583,-0.035118598490953445,-0.019155599176883698,0.2819172441959381,-1.0672154426574707,8.711302757263184,0.0004424737417139113,-0.015755916014313698,0.9320703148841858,0.36192262172698975
1789550267333785475,1789550267337601665,0.005320999771356583,-0.035118598490953445,-0.019155599176883698,0.2819172441959381,-1.0672154426574707,8.711302757263184,0.0004424737417139113,-0.015755916014313698,0.9320703148841858,0.36192262172698975
1789550267338406335,1789550267350958848,0.015962999314069748,0.05427420139312744,0.0,0.8158242106437683,0.8798691034317017,11.64958667755127,0.002239639637991786,-0.014819370582699776,0.9320323467254639,0.36205336451530457
1789550267354639908,1789550267357966775,0.015962999314069748,0.05427420139312744,0.0,0.8158242106437683,0.8798691034317017,11.64958667755127,0.002239639637991786,-0.014819370582699776,0.9320323467254639,0.36205336451530457
1789550267361205061,1789550267371923414,-0.043632201850414276,-0.01383460033684969,0.0,-0.5386953949928284,-0.8242039084434509,9.218873023986816,0.0007460936903953552,-0.014074056409299374,0.9320473670959473,0.362050324678421
1789550267372952905,1789550267375551610,-0.043632201850414276,-0.01383460033684969,0.0,-0.5386953949928284,-0.8242039084434509,9.218873023986816,0.0007460936903953552,-0.014074056409299374,0.9320473670959473,0.362050324678421
1789550267376461284,1789550267381761663,-0.043632201850414276,-0.01383460033684969,0.0,-0.5386953949928284,-0.8242039084434509,9.218873023986816,0.0007460936903953552,-0.014074056409299374,0.9320473670959473,0.362050324678421
1789550267382912971,1789550267393985091,0.04788900166749954,-0.01809139922261238,-0.025540800765156746,0.7326257228851318,-0.2914940416812897,8.144475936889648,0.0012655755272135139,-0.01570099964737892,0.9319458603858948,0.3622431457042694
1789550267394164993,1789550267398105925,0.04788900166749954,-0.01809139922261238,-0.025540800765156746,0.7326257228851318,-0.2914940416812897,8.144475936889648,0.0012655755272135139,-0.01570099964737892,0.9319458603858948,0.3622431457042694
1789550267400130097,1789550267402950402,0.04788900166749954,-0.01809139922261238,-0.025540800765156746,0.7326257228851318,-0.2914940416812897,8.144475936889648,0.0012655755272135139,-0.01570099964737892,0.9319458603858948,0.3622431457042694
1789550267404151296,1789550267414361273,-0.025540800765156746,0.02766920067369938,-0.004256799817085266,0.1711854189634323,1.0127472877502441,12.295422554016113,0.0025971687864512205,-0.014299300499260426,0.9318850636482239,0.3624502718448639
1789550267415675522,1789550267421194038,-0.025540800765156746,0.02766920067369938,-0.004256799817085266,0.1711854189634323,1.0127472877502441,12.295422554016113,0.0025971687864512205,-0.014299300499260426,0.9318850636482239,0.3624502718448639
